# origin.tsv - where each function in the replacement came from.
#
# One tab-separated row per correspondence. A function may have several rows
# when it covers more than one original, or when one original splits across
# the core seam. See origin.txt for what the kinds mean and for the entries
# that are not one to one.
#
# THE ADDRESS IS THE DURABLE KEY, not the name: the binaries are immutable
# primary evidence and are never rebuilt, so an address cannot rot, while a
# Ghidra name can still be changed by later analysis.
#
# Checked and sorted by tools/originmap.py --check / --fix.
#
# function	file	kind	binary	addr	original
core_pak_addr_crc5	core.c	part	wishk201.sys	000136f0	drv_N64PakAddrCrc5
core_pak_addr_encode	core.c	port	wishk201.sys	000136f0	drv_N64PakAddrCrc5
core_pak_data_crc8	core.c	port	wishk201.sys	00013730	drv_N64PakDataCrc8
core_probe_abandon	core.c	part	wishk201.sys	00018d30	drv_AccessoryProbeStart
core_probe_complete	core.c	part	wishk201.sys	00018f40	drv_AccessoryProbeClassify
core_probe_identified	core.c	part	wishk201.sys	00018f40	drv_AccessoryProbeClassify
core_probe_identified	core.c	part	wishk201.sys	00019020	drv_AccessoryProbeClassify2
core_probe_issue	core.c	part	wishk201.sys	00018da0	drv_AccessoryProbeStep1
core_probe_issue	core.c	part	wishk201.sys	00018df0	drv_AccessoryProbeStep2
core_probe_issue	core.c	part	wishk201.sys	00018e30	drv_AccessoryProbeStep3
core_probe_issue	core.c	part	wishk201.sys	00018e70	drv_AccessoryProbeStep4
core_probe_issue	core.c	part	wishk201.sys	00018eb0	drv_AccessoryProbeStep5
core_probe_issue	core.c	part	wishk201.sys	00018ef0	drv_AccessoryProbeRead
core_probe_issue	core.c	part	wishk201.sys	00018fd0	drv_AccessoryProbeRead2
core_probe_start	core.c	port	wishk201.sys	00018d30	drv_AccessoryProbeStart
core_reset	core.c	new	-	-	-
core_ring_index	core.c	part	wishk201.sys	00013f10	drv_EffectEvaluate
core_set_vendor	core.c	new	-	-	-
core_set_vendor_claim	core.c	new	-	-	-
core_set_vendor_sync	core.c	new	-	-	-
core_sine_lerp	core.c	port	wishk201.sys	000149a0	drv_SineLerp
core_tick	core.c	part	wishk201.sys	00013ac0	drv_EffectTick
core_tick	core.c	part	wishk201.sys	00017980	drv_ScriptScheduler
core_tune_strength_for	core.c	part	wishk201.sys	00015150	drv_BuildJoystickReport
core_tune_update	core.c	part	wishk201.sys	00015150	drv_BuildJoystickReport
core_zero	core.c	new	-	-	-
ExAllocatePoolWithTag	harness.c	new	-	-	-
ExFreePool	harness.c	new	-	-	-
HidRegisterMinidriver	harness.c	new	-	-	-
InterlockedDecrement	harness.c	new	-	-	-
InterlockedExchange	harness.c	new	-	-	-
InterlockedIncrement	harness.c	new	-	-	-
KeInitializeEvent	harness.c	new	-	-	-
KeInitializeSpinLock	harness.c	new	-	-	-
KeQueryInterruptTime	harness.c	new	-	-	-
KeSetEvent	harness.c	new	-	-	-
KfAcquireSpinLock	harness.c	new	-	-	-
KfReleaseSpinLock	harness.c	new	-	-	-
bind_all	harness.c	new	-	-	-
bind_build_code	harness.c	new	-	-	-
bind_raw	harness.c	new	-	-	-
bus_reset	harness.c	new	-	-	-
clock_advance_ms	harness.c	new	-	-	-
effect_arm_chain	harness.c	new	-	-	-
effect_arm_constant	harness.c	new	-	-	-
effect_pump	harness.c	new	-	-	-
harness_claim	harness.c	new	-	-	-
harness_pump	harness.c	new	-	-	-
harness_sink	harness.c	new	-	-	-
harness_vendor	harness.c	new	-	-	-
hlog	harness.c	new	-	-	-
htrace	harness.c	new	-	-	-
hverbose	harness.c	new	-	-	-
main	harness.c	new	-	-	-
n64_reset_log	harness.c	new	-	-	-
n64_set_reply	harness.c	new	-	-	-
n64_sync	harness.c	new	-	-	-
nat_prog	harness.c	new	-	-	-
nat_run	harness.c	new	-	-	-
pak_arm	harness.c	new	-	-	-
pak_poll	harness.c	new	-	-	-
popcount32	harness.c	new	-	-	-
probe_check_prefix	harness.c	new	-	-	-
report_name	harness.c	new	-	-	-
sched_expect	harness.c	new	-	-	-
sched_reset_log	harness.c	new	-	-	-
sched_test_alloc	harness.c	new	-	-	-
sched_test_arm	harness.c	new	-	-	-
sched_test_event	harness.c	new	-	-	-
sched_test_free	harness.c	new	-	-	-
sched_test_native	harness.c	new	-	-	-
sched_test_open	harness.c	new	-	-	-
script_run_prog	harness.c	new	-	-	-
simulate_add_device	harness.c	new	-	-	-
test_accessory_probe	harness.c	new	-	-	-
test_effect_chain	harness.c	new	-	-	-
test_effect_engine	harness.c	new	-	-	-
test_input_bind	harness.c	new	-	-	-
test_joystick_report	harness.c	new	-	-	-
test_n64_transaction	harness.c	new	-	-	-
test_natives	harness.c	new	-	-	-
test_pak_change	harness.c	new	-	-	-
test_pak_crcs	harness.c	new	-	-	-
test_sched	harness.c	new	-	-	-
test_script	harness.c	new	-	-	-
test_tune_mode	harness.c	new	-	-	-
usage	harness.c	new	-	-	-
clamp_s32	sched.c	new	-	-	-
core_sched_init	sched.c	part	wishk201.sys	00017310	drv_ScriptLoad
core_sched_load	sched.c	part	wishk201.sys	00017310	drv_ScriptLoad
core_sched_native	sched.c	port	wishk201.sys	000186a0	drv_ScriptNativeCall
core_sched_on_input	sched.c	port	wishk201.sys	00017550	drv_ScriptDispatchInput
core_sched_post_event	sched.c	port	wishk201.sys	00015e00	drv_QueueEvent
core_sched_queue	sched.c	port	wishk201.sys	00017860	drv_ScriptThreadQueue
core_sched_run	sched.c	port	wishk201.sys	00017980	drv_ScriptScheduler
core_sched_set_arm	sched.c	new	-	-	-
core_sched_set_core	sched.c	new	-	-	-
core_sched_set_event_sink	sched.c	new	-	-	-
core_sched_set_native	sched.c	new	-	-	-
core_sched_thread_alloc	sched.c	port	wishk201.sys	000177c0	drv_ScriptThreadAlloc
core_sched_unload	sched.c	part	wishk201.sys	00017310	drv_ScriptLoad
find_thread	sched.c	part	wishk201.sys	000186a0	drv_ScriptNativeCall
free_list	sched.c	part	wishk201.sys	00017310	drv_ScriptLoad
in_buttons	sched.c	part	wishk201.sys	00017550	drv_ScriptDispatchInput
in_dword	sched.c	part	wishk201.sys	00017550	drv_ScriptDispatchInput
in_stick	sched.c	part	wishk201.sys	00017550	drv_ScriptDispatchInput
list_empty	sched.c	new	-	-	-
list_init	sched.c	new	-	-	-
list_insert_before	sched.c	new	-	-	-
list_unlink	sched.c	new	-	-	-
native_arg	sched.c	part	wishk201.sys	000186a0	drv_ScriptNativeCall
native_fork	sched.c	port	wishk201.sys	000186a0	drv_ScriptNativeCall
sched_alloc	sched.c	new	-	-	-
sched_drain_events	sched.c	part	wishk201.sys	00015e70	drv_DispatchEvents
sched_execute	sched.c	part	wishk201.sys	00017b90	drv_ScriptExecute
sched_fault	sched.c	part	wishk201.sys	00017b90	drv_ScriptExecute
sched_free	sched.c	new	-	-	-
sched_spawn_handler	sched.c	part	wishk201.sys	00017550	drv_ScriptDispatchInput
thread_release	sched.c	part	wishk201.sys	00017b90	drv_ScriptExecute
core_script_init	script.c	part	wishk201.sys	00017b90	drv_ScriptExecute
core_script_run	script.c	port	wishk201.sys	00017b90	drv_ScriptExecute
core_script_set_native	script.c	new	-	-	-
core_script_var_index	script.c	port	wishk201.sys	00018640	drv_ScriptCheckVarIndex
AdaptoidAddDevice	wdm.c	port	wishk201.sys	0001236e	drv_AddDevice
AdaptoidCleanup	wdm.c	port	wishk201.sys	00011880	drv_CleanupTriage
AdaptoidClose	wdm.c	port	wishk201.sys	00011910	drv_CloseTriage
AdaptoidCreate	wdm.c	port	wishk201.sys	000117f0	drv_CreateTriage
AdaptoidDeviceControl	wdm.c	port	wishk201.sys	00011a80	drv_DeviceControlTriage
AdaptoidIntDeviceControl	wdm.c	port	wishk201.sys	000128d2	drv_DispatchInternalDeviceControl
AdaptoidPnp	wdm.c	port	wishk201.sys	00011b10	drv_PnpTriage
AdaptoidPower	wdm.c	port	wishk201.sys	00011b70	drv_PowerTriage
AdaptoidRead	wdm.c	port	wishk201.sys	000119a0	drv_ReadTriage
AdaptoidReportSink	wdm.c	part	wishk201.sys	00014de8	drv_SubmitHidReport
AdaptoidReportSink	wdm.c	part	wishk201.sys	00014ec0	drv_CompleteReadReport
AdaptoidUnload	wdm.c	port	wishk201.sys	000117e0	drv_Unload
AdaptoidWrite	wdm.c	port	wishk201.sys	00011a10	drv_WriteTriage
DriverEntry	wdm.c	port	wishk201.sys	000115f0	drv_DriverEntry
